,Ingredient,Pre,Normalization,Freq
207,Maionese,maionese,maionese,139
208,Sidro,sidro,sidro,6
209,Farina integrale,farina integrale,farina integrale,108
210,Concentrato di pomodoro,concentrato di pomodoro,concentrato di pomodoro,192
211,Spinaci,spinaci,spinaci,245
212,Cozze,cozze,cozze,115
213,Pane casereccio,pane casereccio,pane casereccio,96
214,Sedanini Rigati,sedanini rigati,sedanini rigati,12
215,Fusilli Bucati Corti,fusilli bucati corti,fusilli bucati corti,71
216,Zucca,zucca,zucca,226
217,Cipolle dorate,cipolle dorate,cipolle dorate,142
218,Amaretti,amaretti,amaretti,104
219,Glucosio,glucosio,glucosio,35
220,Glicerina,glicerina,glicerina,2
221,Platessa,platessa,platessa,8
222,Burro chiarificato,burro chiarificato,burro chiarificato,31
223,Pepe bianco,pepe bianco,pepe bianco,5844
224,Aceto di mele,aceto di mele,aceto di mele,91
225,Sale,sale,sale,9693
226,Estratto di vaniglia,estratto di vaniglia,estratto di vaniglia,100
227,Cremor tartaro,cremor tartaro,cremor tartaro,30
228,Kiwi,kiwi,kiwi,47
229,Frutti della passione,frutti della passione,frutti della passione,19
230,Ricotta di bufala,ricotta di bufala,ricotta di bufala,17
231,Maggiorana,maggiorana,maggiorana,288
232,Pane raffermo,pane raffermo,pane raffermo,106
233,Farina,farina,farina,2121
234,Rigatoni,rigatoni,rigatoni,59
235,Pajata,pajata,pajata,1
236,Sedano,sedano,sedano,796
237,Sale grosso,sale grosso,sale grosso,9693
238,Carne bovina,carne bovina,carne bovina,492
239,Bacche di ginepro,bacche di ginepro,bacche di ginepro,89
240,Cipolle rosse,cipolle rosse,cipolle rosse,1415
241,Asparagi,asparagi,asparagi,192
242,Curcuma in polvere,curcuma,curcuma,79
243,Pepe misto in grani,pepe misto,pepe misto,5844
244,Formaggio fresco,formaggio fresco,formaggio fresco,38
245,Oro alimentare,oro alimentare,oro alimentare,2
246,Meringhe,meringhe,meringhe,28
247,Sedano rapa,sedano rapa,sedano rapa,25
248,Mele Granny Smith,mele granny smith,mele granny smith,43
249,Scarola (indivia),scarola,scarola,44
250,Uva passa,uva passa,uva passa,87
251,Acciughe sott'olio,acciughe sott'olio,acciughe sott'olio,403
252,Pecorino,pecorino,pecorino,519
253,La Bottega di Olivia&Marino,,,
254,Mortadella,mortadella,mortadella,84
255,Cous cous,cous cous,cous cous,41
256,Paprika piccante,paprika piccante,paprika piccante,272
257,Stracchino,stracchino,stracchino,47
258,Tonno,tonno,tonno,101
259,Patate rosse,patate rosse,patate rosse,1000
260,Scamorza affumicata,scamorza affumicata,scamorza affumicata,58
261,Prosciutto crudo,prosciutto crudo,prosciutto crudo,182
262,Caffè solubile,caffè solubile,caffè solubile,42
263,Pasta di zucchero,pasta di zucchero,pasta di zucchero,26
264,Matite alimentari,matite alimentari,matite alimentari,9
265,Decorazione alimentare,decorazione alimentare,decorazione alimentare,17
266,Sciroppo di glucosio,sciroppo di glucosio,sciroppo di glucosio,12
267,Farina di semi di carrube,farina di semi di carrube,farina,2121
268,Rum,rum,rum,218
269,Pistacchi,pistacchi,pistacchi,193
270,Mandorle pelate,mandorle pelate,mandorle pelate,146
271,Scamorza (provola),scamorza,scamorza,97
272,Quartirolo Lombardo,quartirolo lombardo,quartirolo,6
273,Semi di sesamo nero,semi di sesamo nero,semi di sesamo nero,132
274,Farina di mandorle,farina di mandorle,farina di mandorle,177
275,Farina di mais fioretto,farina di mais fioretto,farina di mais fioretto,144
276,Lonza di maiale,lonza di maiale,lonza di maiale,60
277,Cotenna di suino,cotenna di suino,cotenna di suino,25
278,Salame,salame,salame,59
279,Provola,provola,provola,62
280,Olive di Gaeta,olive di gaeta,olive di gaeta,13
281,Cocomero (anguria),cocomero,cocomero,25
282,Confettura di amarene,confettura di amarene,confettura,46
283,Pan di Spagna,pan di spagna,pan di spagna,30
284,Limoni,limoni,limoni,1394
285,Limoncello,limoncello,limoncello,19
286,Codette colorate,codette colorate,codette colorate,28
287,Farina di riso senza glutine,farina di riso,farina di riso,103
288,Farina di lupini,farina di lupini,farina,2121
289,Amido di mais (maizena) senza glutine,amido di mais,amido di mais,322
290,Braciole di maiale,braciole di maiale,braciole di maiale,202
291,Salsa di soia,salsa di soia,salsa di soia,135
292,Farina di grano saraceno,farina di grano saraceno,farina di grano saraceno,59
293,Farina 0,farina 0,farina 0,181
294,Olio di cocco,olio di cocco,olio di cocco,14
295,Nocciole intere spellate,nocciole intere spellate,nocciole intere spellate,164
296,Zucchero muscovado,zucchero muscovado,zucchero muscovado,33
297,Cioccolato bianco,cioccolato bianco,cioccolato bianco,160
298,Aroma al limone,aroma al limone,aroma alla mandorla,10
299,Prosecco,prosecco,prosecco,11
300,Zenzero in polvere,zenzero,zenzero,285
301,Salsiccia,salsiccia,salsiccia,225
302,Ricciola,ricciola,ricciola,7
303,Fiocchi di sale,fiocchi di sale,fiocchi di sale,55
304,Miele di castagno,miele di castagno,miele di castagno,15
305,Succo di lime,succo di lime,succo di lime,83
306,Tabasco®,tabasco®,tabasco®,79
307,Succo di mandarino,succo di mandarino,succo di mandarino,9
