Def,Freq,Freq_Cucchiaio,Freq_GZ,Freq_RR
erborinato,1,1,0,0
essenza,6,4,1,1
essenza di mandorla,11,4,7,0
essenza di menta,2,2,0,0
essenza di vaniglia,100,48,50,2
estrazione di carota gialla,1,1,0,0
estrazione di zenzero,1,1,0,0
fagianella,1,1,0,0
fagiano,9,9,0,0
fagioli,87,38,24,25
fagioli borlotti,47,25,14,8
fagioli cannellini,61,34,24,3
fagioli dall'occhio,5,2,3,0
fagioli secchi,9,9,0,0
fagiolini,153,86,61,6
falanghina,1,1,0,0
faraona,16,8,3,5
farfalle,35,14,20,1
farina,2121,1807,66,248
farina 0,181,99,71,11
farina 00,1803,123,1664,16
farina 1,13,6,7,0
farina 2,15,10,5,0
farina di castagne,38,24,9,5
farina di ceci,26,14,9,3
farina di cocco,20,14,6,0
farina di farro,35,14,21,0
farina di grano saraceno,59,32,25,2
farina di kamut,7,7,0,0
farina di legumi,5,0,5,0
farina di mais,144,59,72,13
farina di mandorle,177,73,104,0
farina di nocciole,53,11,42,0
farina di pistacchi,8,1,7,0
farina di riso,103,45,58,0
farina di segale,11,7,3,1
farina gialla,68,62,0,6
farina integrale,108,54,53,1
farina istantanea,9,0,9,0
farina manitoba,233,76,152,5
farro,31,21,4,6
farro perlato,11,4,7,0
fasolari,11,3,8,0
fave,103,51,45,7
fave di cacao,12,12,0,0
fave secche,9,5,3,1
fecola di patate,233,102,126,5
fegatini di pollo,39,24,2,13
fegato,4,3,0,1
fegato di coniglio,7,7,0,0
fegato di maiale,10,6,0,4
fegato di vitello,10,3,3,4
fernet,1,1,0,0
ferrero rocher,1,1,0,0
fesa di tacchino,20,17,2,1
feta,64,26,38,0
fettuccine all'uovo,23,10,10,3
fibra da estrattore,1,1,0,0
fichi,82,47,35,0
fichi secchi,41,22,11,8
fidelini,1,1,0,0
fieno greco,1,1,0,0
fileja,1,1,0,0
filetto di halibut,3,3,0,0
fili d'angelo,1,1,0,0
filini,1,0,1,0
finferli,21,10,9,2
finger lime,1,1,0,0
finocchi,98,64,27,7
finocchietto selvatico,96,55,39,2
finocchiona,1,1,0,0
fiocchi di avena,31,13,18,0
fiocchi di soia,3,3,0,0
fior di sale,55,23,32,0
fioretto,2,2,0,0
fiori di zucca,68,25,36,7
fiori eduli,39,21,17,1
focaccia,8,8,0,0
fogli di brick,1,1,0,0
foglie di vite,2,0,2,0
foie gras,13,13,0,0
fontal,4,0,4,0
fontina,155,100,48,7
formaggini,2,2,0,0
formaggio,264,251,5,8
formaggio cremoso,27,27,0,0
formaggio di capra,8,6,1,1
