"recipe1_title","recipe1_url","recipe1_author","recipe1_category","recipe2_title","recipe2_url","recipe2_author","recipe2_category","similarity","levenshtein","jarowinkler","category_equality"
"Cozze alla marinara","https://www.cucchiaio.it/ricetta/cozze-alla-marinara/","cucchiaio.it","antipasti","Cozze alla busara","https://ricette.giallozafferano.it/Cozze-alla-busara.html","giallozafferano.it","antipasti","0.8571428571428571","0.7058823529411765","0.9011764705882354","true"
"Presnitz di Pasqua","https://www.cucchiaio.it/ricetta/ricetta-presnitz-pasqua/","cucchiaio.it","dolci","Presnitz di Pasqua","https://www.ricetteregionali.net/ricette-regionali-friulane-friuli-venezia-giulia-dolci-presnitz-di-pasqua.html","ricetteregionali.net","dolci","0.8571428571428571","1","1","true"
"Sugo di carciofi","https://www.cucchiaio.it/ricetta/ricetta-sugo-carciofi/","cucchiaio.it","salse","Sugo di carciofi","https://www.ricetteregionali.net/ricette-regionali-liguri-liguria-salse-sugo-di-carciofi.html","ricetteregionali.net","salse","0.8571428571428571","1","1","true"
"Spaghetti alle vongole","https://ricette.giallozafferano.it/Spaghetti-alle-vongole.html","giallozafferano.it","primi piatti","Spaghetti alle vongole veraci","https://www.ricetteregionali.net/ricette-regionali-laziali-lazio-primi-spaghetti-alle-vongole-veraci.html","ricetteregionali.net","primi piatti","0.8571428571428571","0.7692307692307693","0.9538461538461538","true"
"Tiramisù alle fragole senza uova","https://www.cucchiaio.it/ricetta/tiramisu-alle-fragole-senza-uova/","cucchiaio.it","dolci","Tiramisù alle fragole senza uova","https://ricette.giallozafferano.it/Tiramisu-alle-fragole-senza-uova.html","giallozafferano.it","dolci","0.8571428571428571","1","1","true"
"Tonno al sesamo","https://www.cucchiaio.it/ricetta/tonno-al-sesamo/","cucchiaio.it","secondi piatti","Tonno al sesamo","https://ricette.giallozafferano.it/Tonno-al-sesamo.html","giallozafferano.it","secondi piatti","0.8571428571428571","1","1","true"
"Barbagiuan alla zucca (Barbajuan)","https://www.ricetteregionali.net/ricette-regionali-liguri-liguria-piatti-di-mezzo-barbagiuan-barbajuan-alla-zucca.html","ricetteregionali.net","secondi piatti","Barbagiuan alle bietole (Barbajuan)","https://www.ricetteregionali.net/ricette-regionali-liguri-liguria-piatti-di-mezzo-barbagiuan-alle-bietole.html","ricetteregionali.net","secondi piatti","0.8461538461538461","0.7333333333333333","0.8765367965367966","true"
"Panettone salato alle mousse di salumi","https://www.cucchiaio.it/ricetta/ricetta-panettone-salato-mousse-salumi/","cucchiaio.it","lievitati","Panettone salato alle mousse","https://www.cucchiaio.it/ricetta/ricetta-panettone-salato-mousse/","cucchiaio.it","antipasti","0.8421052631578947","0.7575757575757576","0.9515151515151515","false"
"Frittelle di frutta allo champagne","https://www.cucchiaio.it/ricetta/ricetta-frittelle-frutta-champagne/","cucchiaio.it","dolci","Frittelle di frutta allo spumante","https://www.cucchiaio.it/ricetta/ricetta-frittelle-frutta-spumante/","cucchiaio.it","dolci","0.8333333333333334","0.8","0.9449513704686119","true"
"Patate al forno","https://www.cucchiaio.it/ricetta/patate-al-forno/","cucchiaio.it","contorni","Patate al forno","https://ricette.giallozafferano.it/Patate-al-forno.html","giallozafferano.it","contorni","0.8333333333333334","1","1","true"
"Torta di fagiolini","https://www.cucchiaio.it/ricetta/ricetta-torta-fagiolini/","cucchiaio.it","contorni","Sformato di fagiolini","https://www.cucchiaio.it/ricetta/ricetta-sformato-fagiolini/","cucchiaio.it","antipasti","0.8333333333333334","0.7368421052631579","0.8201023391812865","false"
"Tartufi al tiramisù","https://www.cucchiaio.it/ricetta/tartufi-al-tiramisu/","cucchiaio.it","dolci","Tartufi tiramisù","https://ricette.giallozafferano.it/Tartufi-tiramisu.html","giallozafferano.it","dolci","0.8333333333333334","0.8823529411764706","0.9498039215686275","true"
"Caprese di mozzarella di bufala","https://www.cucchiaio.it/ricetta/ricetta-caprese-mozzarella-bufala/","cucchiaio.it","secondi piatti","Caprese di mozzarella gratinata","https://www.cucchiaio.it/ricetta/ricetta-caprese-mozzarella-gratinata/","cucchiaio.it","antipasti","0.8333333333333334","0.75","0.911014911014911","false"
"Cosmopolitan ","https://www.cucchiaio.it/ricetta/cosmopolitan-cocktail/","cucchiaio.it","bevande","Cosmopolitan","https://ricette.giallozafferano.it/Cosmopolitan.html","giallozafferano.it","bevande","0.8333333333333334","1","1","true"
"Crêpe","https://www.cucchiaio.it/ricetta/ricetta-crepe/","cucchiaio.it","dolci","Crepes","https://www.cucchiaio.it/ricetta/ricetta-crepes/","cucchiaio.it","dolci","0.8333333333333334","0.8333333333333334","0.9666666666666667","true"
"Cozze alla marinara","https://www.cucchiaio.it/ricetta/cozze-alla-marinara/","cucchiaio.it","antipasti","Cozze alla marinara","https://ricette.giallozafferano.it/Cozze-alla-marinara.html","giallozafferano.it","antipasti","0.8333333333333334","1","1","true"
"Gelato fiordilatte","https://www.cucchiaio.it/ricetta/gelato-fiordilatte/","cucchiaio.it","dolci","Gelato fiordilatte","https://ricette.giallozafferano.it/Gelato-fiordilatte.html","giallozafferano.it","dolci","0.8333333333333334","1","1","true"
"Salame di cioccolato","https://www.cucchiaio.it/ricetta/ricetta-salame-cioccolato/","cucchiaio.it","","Salame di cioccolato","https://ricette.giallozafferano.it/Salame-di-cioccolato.html","giallozafferano.it","dolci","0.8333333333333334","1","1","false"
"Fonduta alla Valdostana","https://ricette.giallozafferano.it/Fonduta-alla-Valdostana.html","giallozafferano.it","piatti unici","Fonduta valdostana","https://www.ricetteregionali.net/ricette-regionali-valdostane-valle-d-aosta-antipasti-fonduta-valdostana.html","ricetteregionali.net","antipasti","0.8333333333333334","0.8095238095238095","0.9030812324929972","false"
"Tapenade","https://www.cucchiaio.it/ricetta/ricetta-salsa-tapenade/","cucchiaio.it","salse","Tapenade","https://www.cucchiaio.it/ricetta/ricetta-tapenade/","cucchiaio.it","salse","0.8333333333333334","1","1","true"
"Torta paradiso","https://ricette.giallozafferano.it/Torta-paradiso.html","giallozafferano.it","dolci","Torta paradiso","https://www.ricetteregionali.net/ricette-regionali-lombarde-lombardia-dolci-torta-paradiso.html","ricetteregionali.net","dolci","0.8333333333333334","1","1","true"
"Canederli di zucca, porro e salvia","https://www.cucchiaio.it/ricetta/ricetta-canederli-zucca-porro-salvia/","cucchiaio.it","primi piatti","Gnocchi di zucca, porro e salvia","https://www.cucchiaio.it/ricetta/ricetta-gnocchi-zucca-porro-salvia/","cucchiaio.it","primi piatti","0.8181818181818182","0.75","0.7181984681984682","true"
"Paella di pesce","https://www.cucchiaio.it/ricetta/ricetta-paella-pesce/","cucchiaio.it","piatti unici","Paella di riso e pesce","https://www.cucchiaio.it/ricetta/ricetta-paella-riso-pesce/","cucchiaio.it","piatti unici","0.8181818181818182","0.7222222222222222","0.9136752136752138","true"
"Risotto alla fontina","https://www.cucchiaio.it/ricetta/ricetta-risotto-fontina/","cucchiaio.it","primi piatti","Risotto alla valdostana","https://www.cucchiaio.it/ricetta/ricetta-risotto-valdostana/","cucchiaio.it","primi piatti","0.8181818181818182","0.7142857142857143","0.8895238095238096","true"
"Marinata al vino bianco","https://www.cucchiaio.it/ricetta/ricetta-marinata-cruda-vino-bianco/","cucchiaio.it","bevande","Marinata al vino rosso","https://www.cucchiaio.it/ricetta/ricetta-marinata-vino-rosso/","cucchiaio.it","bevande","0.8181818181818182","0.75","0.9078947368421053","true"
"Scampi in “bùzara”","https://www.cucchiaio.it/ricetta/ricetta-scampi-buzara/","cucchiaio.it","secondi piatti","Scampi in bùzara","https://www.ricetteregionali.net/ricette-regionali-friulane-friuli-venezia-giulia-secondi-scampi-in-buzara.html","ricetteregionali.net","secondi piatti","0.8181818181818182","1","1","true"
"Brutti ma buoni","https://www.cucchiaio.it/ricetta/brutti-ma-buoni/","cucchiaio.it","dolci","Brutti ma buoni","https://ricette.giallozafferano.it/Brutti-ma-buoni.html","giallozafferano.it","dolci","0.8","1","1","true"
"Torta Mars","https://www.cucchiaio.it/ricetta/torta-mars/","cucchiaio.it","dolci","Torta Mars","https://ricette.giallozafferano.it/Torta-Mars.html","giallozafferano.it","dolci","0.8","1","1","true"
"Crumpets","https://www.cucchiaio.it/ricetta/crumpets/","cucchiaio.it","","Crumpets","https://ricette.giallozafferano.it/Crumpets.html","giallozafferano.it","dolci","0.8","1","1","false"
"Carciofi alle acciughe","https://www.cucchiaio.it/ricetta/ricetta-carciofi-acciughe/","cucchiaio.it","contorni","Carciofi alle acciughe","https://www.ricetteregionali.net/ricette-regionali-friulane-friuli-venezia-giulia-contorni-carciofi-alle-acciughe.html","ricetteregionali.net","contorni","0.8","1","1","true"
"Kugelhupf al farro e albicocche secche","https://www.cucchiaio.it/ricetta/kugelhupf-al-farro-e-albicocche-secche/","cucchiaio.it","","Ciambella al farro e albicocche secche","https://www.cucchiaio.it/ricetta/ciambella-al-farro-e-albicocche-secche/","cucchiaio.it","dolci","0.8","0.7272727272727273","0.788073038073038","false"
